1280 800
4 1400 2
1.0 1.0 0.0 0.5
0.0 1.0 1.0 0.5
1.0 0.0 1.0 0.5
1.0 1.0 1.0 0.5
103 53 5 13 1
525 88 9 21 0
1133 14 1 16 2
461 14 17 17 2
599 50 36 45 0
38 80 41 23 3
1006 47 8 10 0
1105 60 37 47 0
202 35 38 15 0
731 46 38 30 2
851 72 43 11 0
483 12 16 35 3
496 86 32 25 2
309 23 36 37 3
258 49 37 22 3
380 40 39 48 0
830 6 2 32 2
783 11 14 39 2
2 34 32 39 1
150 72 8 25 2
323 14 27 26 3
598 58 42 10 1
193 50 10 14 3
1021 63 25 28 0
27 70 38 48 0
1191 12 11 19 3
1020 98 22 45 1
58 62 3 49 2
483 1 34 38 1
741 54 43 45 3
531 68 17 28 3
371 95 24 30 0
169 40 23 26 3
1261 73 10 43 0
3 62 23 19 2
858 60 25 34 1
1204 6 2 45 0
871 79 44 17 2
609 11 8 25 0
1000 58 48 43 2
96 66 24 36 2
999 33 35 27 3
680 0 43 36 1
182 77 9 23 3
922 63 41 41 3
0.0 240.0 -100.0 1.0 1.0 1.0
640.0 240.0 -10000.0 0.6 0.7 1.0
