1280 800
4 1400 2
1.0 1.0 0.0 0.5
0.0 1.0 1.0 0.5
1.0 0.0 1.0 0.5
1.0 1.0 1.0 0.5
117 192 12 15 0
56 214 31 13 3
112 354 47 24 3
69 725 33 47 1
93 290 24 46 2
104 536 13 10 1
36 190 22 48 3
27 623 21 45 0
114 442 20 42 0
107 612 11 27 2
112 696 45 18 2
40 583 33 38 1
86 609 20 41 0
74 462 13 14 1
1 715 26 37 0
112 657 17 32 0
0.0 240.0 -100.0 1.0 1.0 1.0
640.0 240.0 -10000.0 0.6 0.7 1.0
